Date,Confirmed,Recovered,Deceased,Other,Tested,Infected,Delta_C,Delta_D,Delta_R,beta,gamma,delta,r0,R0
2020-01-30,1,0,0,0,0.0,1,1.0,-0.0,-0.0,1.0,-0.0,-0.0,1.0,0.0
2020-02-02,2,0,0,0,0.0,2,1.0,-0.0,-0.0,0.5,-0.0,-0.0,0.5,0.0
2020-02-03,3,0,0,0,0.0,3,-0.0,-0.0,3.0,-0.0,1.0,-0.0,-1.0,-0.0
2020-02-14,3,3,0,0,0.0,0,2.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02,5,3,0,0,0.0,2,1.0,-0.0,-0.0,0.5,-0.0,-0.0,0.5,0.0
2020-03-03,6,3,0,0,0.0,3,22.0,-0.0,-0.0,7.333333333333333,-0.0,-0.0,7.333333333333333,0.0
2020-03-04,28,3,0,0,0.0,25,2.0,-0.0,-0.0,0.08,-0.0,-0.0,0.08,0.0
2020-03-05,30,3,0,0,0.0,27,1.0,-0.0,-0.0,0.037037037037037035,-0.0,-0.0,0.037037037037037035,0.0
2020-03-06,31,3,0,0,0.0,28,3.0,-0.0,-0.0,0.10714285714285714,-0.0,-0.0,0.10714285714285714,0.0
2020-03-07,34,3,0,0,0.0,31,5.0,-0.0,-0.0,0.16129032258064516,-0.0,-0.0,0.16129032258064516,0.0
2020-03-08,39,3,0,0,0.0,36,9.0,-0.0,-0.0,0.25,-0.0,-0.0,0.25,0.0
2020-03-09,48,3,0,0,0.0,45,15.0,-0.0,-0.0,0.3333333333333333,-0.0,-0.0,0.3333333333333333,0.0
2020-03-10,63,3,0,0,0.0,60,8.0,-0.0,-0.0,0.13333333333333333,-0.0,-0.0,0.13333333333333333,0.0
2020-03-11,71,3,0,0,0.0,68,10.0,-0.0,-0.0,0.14705882352941177,-0.0,-0.0,0.14705882352941177,0.0
2020-03-12,81,3,0,0,0.0,78,10.0,1.0,-0.0,0.1282051282051282,-0.0,0.01282051282051282,0.11538461538461538,10.0
2020-03-13,91,3,1,0,6500.0,87,11.0,-0.0,-0.0,0.12643678160919541,-0.0,-0.0,0.12643678160919541,0.0
2020-03-14,102,3,1,3,6500.0,98,10.0,-0.0,-0.0,0.10204081632653061,-0.0,-0.0,0.10204081632653061,0.0
2020-03-15,112,3,1,3,6500.0,108,14.0,-0.0,-0.0,0.12962962962962962,-0.0,-0.0,0.12962962962962962,0.0
2020-03-16,126,3,1,3,6500.0,122,20.0,-0.0,-0.0,0.16393442622950818,-0.0,-0.0,0.16393442622950818,0.0
2020-03-17,146,3,1,3,6500.0,142,25.0,-0.0,-0.0,0.176056338028169,-0.0,-0.0,0.176056338028169,0.0
2020-03-18,171,3,1,3,13125.0,167,27.0,-0.0,-0.0,0.16167664670658682,-0.0,-0.0,0.16167664670658682,0.0
2020-03-19,198,3,1,3,14175.0,194,58.0,-0.0,1.0,0.29896907216494845,0.005154639175257732,-0.0,0.29381443298969073,58.0
2020-03-20,256,4,1,3,15404.0,251,78.0,-0.0,-0.0,0.3107569721115538,-0.0,-0.0,0.3107569721115538,0.0
2020-03-21,334,4,1,3,16911.0,329,69.0,-0.0,-0.0,0.20972644376899696,-0.0,-0.0,0.20972644376899696,0.0
2020-03-22,403,4,1,3,18127.0,398,94.0,-0.0,-0.0,0.23618090452261306,-0.0,-0.0,0.23618090452261306,0.0
2020-03-23,497,4,1,3,20707.0,492,74.0,-0.0,2.0,0.15040650406504066,0.0040650406504065045,-0.0,0.14634146341463417,37.0
2020-03-24,571,6,1,3,22694.0,564,86.0,-0.0,-0.0,0.1524822695035461,-0.0,-0.0,0.1524822695035461,0.0
2020-03-25,657,6,1,3,25144.0,650,73.0,1.0,-0.0,0.1123076923076923,-0.0,0.0015384615384615385,0.11076923076923076,73.0
2020-03-26,730,6,2,3,27688.0,722,153.0,1.0,2.0,0.21191135734072022,0.002770083102493075,0.0013850415512465374,0.20775623268698062,51.0
2020-03-27,883,8,3,3,27688.0,872,136.0,-0.0,-0.0,0.1559633027522936,-0.0,-0.0,0.1559633027522936,0.0
2020-03-28,1019,8,3,3,27688.0,1008,120.0,25.0,91.0,0.11904761904761904,0.09027777777777778,0.0248015873015873,0.003968253968253968,1.0344827586206897
2020-03-29,1139,99,28,3,27688.0,1012,187.0,13.0,42.0,0.18478260869565216,0.041501976284584984,0.012845849802371542,0.13043478260869562,3.3999999999999995
2020-03-30,1326,141,41,3,38442.0,1144,309.0,6.0,19.0,0.2701048951048951,0.016608391608391608,0.005244755244755245,0.24825174825174826,12.360000000000001
2020-03-31,1635,160,47,3,42788.0,1428,424.0,11.0,9.0,0.2969187675070028,0.0063025210084033615,0.007703081232492998,0.28291316526610644,21.2
2020-04-01,2059,169,58,3,47951.0,1832,486.0,11.0,22.0,0.2652838427947598,0.012008733624454149,0.006004366812227074,0.24727074235807858,14.727272727272727
2020-04-02,2545,191,69,3,55851.0,2285,560.0,14.0,39.0,0.24507658643326038,0.017067833698030634,0.00612691466083151,0.22188183807439824,10.566037735849058
2020-04-03,3105,230,83,3,69245.0,2792,579.0,13.0,56.0,0.207378223495702,0.02005730659025788,0.004656160458452722,0.1826647564469914,8.391304347826086
2020-04-04,3684,286,96,3,79950.0,3302,609.0,22.0,43.0,0.1844336765596608,0.013022410660205935,0.006662628709872804,0.16474863718958208,9.36923076923077
2020-04-05,4293,329,118,3,89534.0,3846,484.0,16.0,65.0,0.12584503380135206,0.01690067602704108,0.004160166406656267,0.10478419136765471,5.9753086419753085
2020-04-06,4777,394,134,3,101068.0,4249,573.0,27.0,75.0,0.13485526006119086,0.017651212049894092,0.0063544363379618735,0.1108496116733349,5.617647058823529
2020-04-07,5350,469,161,3,114015.0,4720,565.0,20.0,96.0,0.11970338983050847,0.020338983050847456,0.00423728813559322,0.0951271186440678,4.870689655172415
2020-04-08,5915,565,181,3,127919.0,5169,813.0,46.0,70.0,0.15728380731282646,0.013542271232346682,0.00889920680982782,0.13484232927065196,7.008620689655173
2020-04-09,6728,635,227,3,144910.0,5866,871.0,22.0,151.0,0.14848278213433344,0.025741561541084215,0.0037504261847937266,0.1189907944084555,5.034682080924855
2020-04-10,7599,786,249,3,161330.0,6564,854.0,41.0,186.0,0.13010359536867763,0.0283363802559415,0.006246191346739793,0.09552102376599633,3.762114537444934
2020-04-11,8453,972,290,3,179374.0,7191,758.0,42.0,114.0,0.10540953970240578,0.015853149770546516,0.005840634125990822,0.08371575580586844,4.858974358974359
2020-04-12,9211,1086,332,3,195748.0,7793,1243.0,27.0,112.0,0.15950211728474273,0.014371872192993712,0.003464647760810984,0.14166559733093803,8.942446043165468
2020-04-13,10454,1198,359,3,217554.0,8897,1031.0,37.0,167.0,0.11588175789591998,0.01877037203551759,0.004158705181521861,0.09295268067888053,5.053921568627452
