beta,gamma,delta,r0
0.15777258070784067,-0.003547049335533616,-0.00016446103649345333,0.16148409107986775
0.15777258070784067,-0.003547049335533616,-0.00016446103649345333,0.16148409107986775
0.15777258070784067,-0.003547049335533616,-0.00016446103649345333,0.16148409107986775
0.15777258070784067,-0.003547049335533616,-0.00016446103649345333,0.16148409107986775
0.15777258070784067,-0.003547049335533616,-0.00016446103649345333,0.16148409107986775
0.15777258070784067,-0.003547049335533616,-0.00016446103649345333,0.16148409107986775
0.15777258070784067,-0.003547049335533616,-0.00016446103649345333,0.16148409107986775
0.15777258070784067,-0.003547049335533616,-0.00016446103649345333,0.16148409107986775
0.15777258070784067,-0.003547049335533616,-0.00016446103649345333,0.16148409107986775
0.15777258070784067,-0.003547049335533616,-0.00016446103649345333,0.16148409107986775
0.15777258070784067,-0.003547049335533616,-0.00016446103649345333,0.16148409107986775
0.15777258070784067,-0.003547049335533616,-0.00016446103649345333,0.16148409107986775
0.15777258070784067,-0.003547049335533616,-0.00016446103649345333,0.16148409107986775
0.15777258070784067,-0.003547049335533616,-0.00016446103649345333,0.16148409107986775
0.15777258070784067,-0.003547049335533616,-0.00016446103649345333,0.16148409107986775
0.15777258070784067,-0.003547049335533616,-0.00016446103649345333,0.16148409107986775
0.15777258070784067,-0.003547049335533616,-0.00016446103649345333,0.16148409107986775
0.161842688271036,-0.0027227098463693867,-0.0001270026782102456,0.16469240079561565
0.16582768146285126,-0.0018926442720360135,-8.104718474502783e-05,0.1678013729196323
0.16971232045427967,-0.0010571624919363978,-2.426347406908561e-05,0.17079374642028516
0.1734789771532289,-0.0002167929774077834,4.6523701852342386e-05,0.17364924642878435
0.17709820305050109,0.0006277666643839566,0.00013602569600186152,0.17633441069011527
0.18055573386658866,0.0014756406320253152,0.000251943676233006,0.17882814955833032
0.18385577585531307,0.002325632620253095,0.00040869688259065345,0.18112144635246932
0.1870360241269077,0.003176439339822043,0.0006382573611953251,0.18322132742589034
0.1902316417496528,0.004026768713741248,0.0010100467394729739,0.18519482629643857
0.19234612434724793,0.0048753637505227305,0.0016363378614464349,0.18583442273527878
0.1949949830297759,0.005720921803299531,0.0022253022373077865,0.18704875898916856
0.19796976378643302,0.0065623040346778376,0.0027772287928486466,0.18863023095890655
